time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T17:20:42.630Z,17.8785,-66.8803,14,2.9,md,14,238,0.0966,0.12,pr,pr2021360006,2021-12-26T17:49:38.166Z,"10 km SSE of Guánica, Puerto Rico",earthquake,0.51,0.67,0.29,11,reviewed,pr,pr
2021-12-26T17:01:47.176Z,61.8211,-150.4346,60.2,1.7,ml,,,,0.34,ak,ak021gjnlmf0,2021-12-26T17:10:28.326Z,"22 km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-12-26T17:01:44.690Z,36.1075,-117.8523333,3.41,0.87,ml,10,124,0.01027,0.09,ci,ci39896751,2021-12-26T17:24:05.803Z,"11km NE of Coso Junction, CA",earthquake,0.33,0.32,0.219,9,reviewed,ci,ci
2021-12-26T16:59:20.867Z,64.7585,-146.7785,8.1,1.7,ml,,,,0.7,ak,ak021gjnckba,2021-12-26T17:34:11.024Z,"14 km SSE of Pleasant Valley, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-26T16:53:48.270Z,37.5643333,-119.1465,3.38,1.65,md,15,135,0.104,0.08,nc,nc73668621,2021-12-26T18:29:12.268Z,"17km WSW of Mammoth Lakes, CA",earthquake,0.45,1.59,0.135,15,reviewed,nc,nc
2021-12-26T16:40:12.940Z,37.4903333,-119.3816667,8.46,1.86,md,16,84,0.2967,0.22,nc,nc73668616,2021-12-26T18:29:11.486Z,"30km NE of Oakhurst, CA",earthquake,0.53,2.42,0.245,14,reviewed,nc,nc
2021-12-26T16:38:12.630Z,37.5653333,-119.145,3.87,2.36,md,23,59,0.1025,0.07,nc,nc73668611,2021-12-26T17:57:11.058Z,"17km WSW of Mammoth Lakes, CA",earthquake,0.39,1.14,0.218,29,reviewed,nc,nc
2021-12-26T16:32:05.580Z,18.0001,-66.8826,14,2.85,md,22,87,0.0252,0.18,pr,pr2021360005,2021-12-26T16:55:26.505Z,"1 km SSW of Palomas, Puerto Rico",earthquake,0.33,0.5,0.18,19,reviewed,pr,pr
2021-12-26T16:27:55.030Z,33.1611667,-116.4138333,9.53,1.18,ml,15,206,0.1068,0.23,ci,ci39896703,2021-12-26T16:32:19.537Z,"11km SSW of Borrego Springs, CA",earthquake,0.91,1.17,0.287,11,automatic,ci,ci
2021-12-26T16:13:53.419Z,38.151,23.1512,10,4.6,mb,,72,1.374,0.52,us,us6000gfgn,2021-12-26T16:58:33.040Z,"11 km SSW of Kaparéllion, Greece",earthquake,5.6,1.9,0.09,40,reviewed,us,us
2021-12-26T16:10:05.354Z,-8.6833,118.3181,122.27,4.5,mb,,56,3.875,0.63,us,us6000gfgm,2021-12-26T16:40:43.040Z,"22 km SW of Dompu, Indonesia",earthquake,5.2,8.1,0.121,23,reviewed,us,us
2021-12-26T16:07:15.660Z,36.1101667,-117.8566667,3.64,1.64,ml,20,54,0.007541,0.12,ci,ci39896695,2021-12-26T17:07:21.723Z,"11km NE of Coso Junction, CA",earthquake,0.23,0.34,0.257,25,reviewed,ci,ci
2021-12-26T16:06:25.319Z,14.2842,-91.2883,42.65,4.5,mb,,192,1.512,0.46,us,us6000gfgl,2021-12-26T16:29:34.040Z,"7 km E of Tiquisate, Guatemala",earthquake,11.2,19.3,0.205,9,reviewed,us,us
2021-12-26T15:48:51.849Z,61.3563,-150.7282,28.5,2.7,ml,,,,0.74,ak,ak021gjmou77,2021-12-26T16:20:23.040Z,"23 km SSW of Susitna, Alaska",earthquake,,0.3,,,automatic,ak,ak
